iter	RMSE
0	27.14222198
1	26.7742367
2	26.42084631
3	26.0302471
4	25.67531326
5	25.36537032
6	25.04138083
7	24.76482943
8	24.48419437
9	24.22889864
10	23.97050872
11	23.70543275
12	23.47720545
13	23.26349704
14	23.05822082
15	22.87422105
16	22.68243743
17	22.53344554
18	22.36593526
19	22.20407771
20	22.0535399
21	21.89806551
22	21.77345061
23	21.63748669
24	21.52474239
25	21.42303652
26	21.30022057
27	21.18172386
28	21.05945266
29	20.96503849
30	20.85738487
31	20.74925084
32	20.65510964
33	20.54554431
34	20.45931597
35	20.36810291
36	20.28893006
37	20.23211297
38	20.15553217
39	20.07969725
40	20.02021103
41	19.95096923
42	19.89609057
43	19.85021945
44	19.80027197
45	19.73189972
46	19.68431144
47	19.63483135
48	19.57929791
49	19.52200725
50	19.46683856
51	19.41722042
52	19.37247888
53	19.33616112
54	19.29239555
55	19.24333592
56	19.20831801
57	19.15846774
58	19.13025573
59	19.08664923
60	19.0415762
61	19.0030892
62	18.96548953
63	18.9181935
64	18.88152609
65	18.83786479
66	18.80925362
67	18.77679472
68	18.73779054
69	18.71340219
70	18.68220359
71	18.65225852
72	18.62254094
73	18.59118255
74	18.5501754
75	18.52345372
76	18.49927482
77	18.47087925
78	18.44402489
79	18.41983898
80	18.38906485
81	18.36401224
82	18.33748938
83	18.30389971
84	18.27758419
85	18.25746373
86	18.23024976
87	18.20457803
88	18.17630785
89	18.15993491
90	18.13892992
91	18.11429367
92	18.08374952
93	18.06274721
94	18.03671477
95	18.01674332
96	17.99311465
97	17.97824837
98	17.95878245
99	17.9376898
100	17.91777799
101	17.90067032
102	17.87966826
103	17.86322815
104	17.83682464
105	17.81854853
106	17.80290548
107	17.78676887
108	17.77095541
109	17.74892252
110	17.7308133
111	17.70756847
112	17.67967598
113	17.65650665
114	17.6430271
115	17.62232752
116	17.59918695
117	17.58174577
118	17.56556742
119	17.54852854
120	17.52484508
121	17.51429015
122	17.50265889
123	17.47973174
124	17.46581803
125	17.4448156
126	17.41665572
127	17.39716324
128	17.37154761
129	17.3533531
130	17.33586955
131	17.31779883
132	17.29636713
133	17.2799194
134	17.26475853
135	17.247063
136	17.2303053
137	17.2163369
138	17.2028542
139	17.18751244
140	17.16861467
141	17.15224231
142	17.13404557
143	17.12359766
144	17.11465483
145	17.08980589
146	17.07728579
