iter	RMSE
0	27.14222198
1	26.7742367
2	26.42084631
3	26.03063289
4	25.6756951
5	25.3637463
6	25.04021183
7	24.73276503
8	24.44960598
9	24.19289005
10	23.93688316
11	23.67617324
12	23.42300877
13	23.18371313
14	22.97273036
15	22.7858709
16	22.5957904
17	22.4472213
18	22.2982665
19	22.1248932
20	21.97763636
21	21.8319792
22	21.70713474
23	21.57261123
24	21.452946
25	21.34368457
26	21.23942557
27	21.12117601
28	21.00369905
29	20.90118476
30	20.79768287
31	20.71685407
32	20.63498914
33	20.54168584
34	20.45699161
35	20.35860223
36	20.29052943
37	20.23043171
38	20.1440509
39	20.07451751
40	20.00724118
41	19.94656403
42	19.89200446
43	19.84262044
44	19.78992095
45	19.73158253
46	19.66770267
47	19.61887045
48	19.56707768
49	19.51032564
50	19.46037007
51	19.4109545
52	19.36860035
53	19.3266914
54	19.28890956
55	19.23838368
56	19.20004895
57	19.14459467
58	19.11787021
59	19.07174048
60	19.03251631
61	18.99273753
62	18.95515577
63	18.9176608
64	18.87784553
65	18.83588794
66	18.78309949
67	18.74846781
68	18.70871993
69	18.67761609
70	18.64603944
71	18.61277535
72	18.58258275
73	18.54855099
74	18.51100202
75	18.48241777
76	18.44845568
77	18.42313635
78	18.39469386
79	18.37037327
80	18.34159758
81	18.30342053
82	18.27226459
83	18.24690602
84	18.22319639
85	18.20448114
86	18.17919523
87	18.15439088
88	18.12653842
89	18.10996325
90	18.09235221
91	18.06756634
92	18.04722364
93	18.02658489
94	18.00106623
95	17.98120182
96	17.95714307
97	17.9427644
98	17.926393
99	17.90499278
100	17.88557525
101	17.87293069
102	17.85296368
103	17.8368568
104	17.8092655
105	17.79667975
106	17.77829682
107	17.75838916
108	17.7432823
109	17.72587263
110	17.70825482
111	17.69435932
112	17.67363915
113	17.64972747
114	17.63338061
115	17.61096674
116	17.5879938
117	17.57836597
118	17.55883997
119	17.5291049
120	17.51276555
121	17.49901466
122	17.48770702
123	17.46671934
124	17.45292953
125	17.44154068
126	17.41820453
127	17.3908945
128	17.37141519
129	17.3593475
130	17.33985552
131	17.32042801
132	17.30222827
133	17.28630806
134	17.27177321
135	17.24817315
136	17.23536047
137	17.21972422
138	17.19822941
139	17.18020189
140	17.15299649
141	17.13344036
142	17.11416658
143	17.10267057
144	17.08806789
145	17.06574493
146	17.0508283
